Location,QuadKey,Url,Size,UploadDate
Afghanistan,123013312,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013312/part-00068-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.1MB,2026-02-23
Afghanistan,123013313,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013313/part-00157-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.9MB,2026-02-23
Afghanistan,123013320,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013320/part-00175-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.6MB,2026-02-23
Afghanistan,123013321,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013321/part-00004-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,7.4MB,2026-02-23
Afghanistan,123013322,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013322/part-00150-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,13.1MB,2026-02-23
Afghanistan,123013323,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013323/part-00118-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.2MB,2026-02-23
Afghanistan,123013330,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013330/part-00137-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.3MB,2026-02-23
Afghanistan,123013331,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013331/part-00131-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.0MB,2026-02-23
Afghanistan,123013332,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013332/part-00035-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.7MB,2026-02-23
Afghanistan,123013333,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013333/part-00070-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.0MB,2026-02-23
Afghanistan,123030110,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123030110/part-00132-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,41.4KB,2026-02-23
Afghanistan,123030111,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123030111/part-00110-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,688.1KB,2026-02-23
Afghanistan,123030113,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123030113/part-00112-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.0MB,2026-02-23
Afghanistan,123030130,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123030130/part-00129-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,305B,2026-02-23
Afghanistan,123030131,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123030131/part-00148-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,151.2KB,2026-02-23
Afghanistan,123030132,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123030132/part-00199-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,24.2KB,2026-02-23
Afghanistan,123030133,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123030133/part-00012-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,36.1KB,2026-02-23
Afghanistan,123031000,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031000/part-00151-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,145.5KB,2026-02-23
Afghanistan,123031001,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031001/part-00089-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.3MB,2026-02-23
Afghanistan,123031002,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031002/part-00154-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.0MB,2026-02-23
Afghanistan,123031003,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031003/part-00193-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,32.5KB,2026-02-23
Afghanistan,123031010,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031010/part-00196-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,982.6KB,2026-02-23
Afghanistan,123031011,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031011/part-00168-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,23.0MB,2026-02-23
Afghanistan,123031012,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031012/part-00027-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,17.8KB,2026-02-23
Afghanistan,123031013,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031013/part-00117-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.7MB,2026-02-23
Afghanistan,123031020,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031020/part-00177-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.0MB,2026-02-23
Afghanistan,123031021,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031021/part-00126-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,356.5KB,2026-02-23
Afghanistan,123031022,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031022/part-00060-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,221.4KB,2026-02-23
Afghanistan,123031023,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031023/part-00171-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,66.9KB,2026-02-23
Afghanistan,123031030,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031030/part-00129-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,857.1KB,2026-02-23
Afghanistan,123031031,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031031/part-00118-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,742.4KB,2026-02-23
Afghanistan,123031032,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123031032/part-00123-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,446.8KB,2026-02-23
